age_band,acquisition,transmission
0-4,0,0
5-11,0.5833480204487952,0.2542421251759856
12-15,0.6307368456266914,0.29520141450590953
16-19,0.7857267881749961,0.46850197453366876
20-24,0.7738810634169461,0.4525101955236475
25-29,0.7776351907462423,0.4575167267572082
30-34,0.8033338989022614,0.49337588372851343
35-39,0.8294526174777109,0.5329995557170372
40-44,0.8405325144708513,0.5509184902431087
45-49,0.8471305273890065,0.5619377899094897
50-54,0.8568742771924244,0.5787219962232681
55-59,0.8637071210801979,0.5908796007579785
60-64,0.858063939913767,0.5808150608131187
65-69,0.863811707270404,0.5910682933251719
70-74,0.867198718902789,0.5972228294019883
75-79,0.866019640360234,0.5950706288529812
80+,0.8435580830866516,0.5559379892930646
