STATE_NAME_2011,STATE_CODE_2011,LGA_NAME_2011,LGA_CODE_2011,SLA_NAME_2011,SLA_MAINCODE_2011
New South Wales,1,Jerilderie (A),14250,Jerilderie (A),155154250
New South Wales,1,Junee (A),14300,Junee (A),150104300
New South Wales,1,Kempsey (A),14350,Kempsey (A),125104350
New South Wales,1,Kiama (A),14400,Kiama (A),115054400
New South Wales,1,Kogarah (C),14450,Kogarah (C),105154450
New South Wales,1,Ku-ring-gai (A),14500,Ku-ring-gai (A),105604500
New South Wales,1,Kyogle (A),14550,Kyogle (A),120104550
New South Wales,1,Lachlan (A),14600,Lachlan (A),140154600
New South Wales,1,Lake Macquarie (C),14650,Lake Macquarie (C) - East,110054651
New South Wales,1,Lake Macquarie (C),14650,Lake Macquarie (C) - North,110054653
New South Wales,1,Lake Macquarie (C),14650,Lake Macquarie (C) - West,110054655
New South Wales,1,Lane Cove (A),14700,Lane Cove (A),105554700
New South Wales,1,Leeton (A),14750,Leeton (A),150154750
New South Wales,1,Leichhardt (A),14800,Leichhardt (A),105054800
New South Wales,1,Lismore (C),14850,Lismore (C) - Pt A,120074851
New South Wales,1,Lismore (C),14850,Lismore (C) - Pt B,120104854
New South Wales,1,Lithgow (C),14870,Lithgow (C),140074870
New South Wales,1,Liverpool (C),14900,Liverpool (C) - East,105254901
New South Wales,1,Liverpool (C),14900,Liverpool (C) - West,105254904
New South Wales,1,Liverpool Plains (A),14920,Liverpool Plains (A),130104920
New South Wales,1,Lockhart (A),14950,Lockhart (A),150104950
New South Wales,1,Maitland (C),15050,Maitland (C),110055050
New South Wales,1,Manly (A),15150,Manly (A),105655150
New South Wales,1,Marrickville (A),15200,Marrickville (A),105055200
New South Wales,1,Mid-Western Regional (A),15270,Mid-Western Regional (A) - Pt A,135055271
New South Wales,1,Mid-Western Regional (A),15270,Mid-Western Regional (A) - Pt B,140075274
New South Wales,1,Moree Plains (A),15300,Moree Plains (A),130205300
New South Wales,1,Mosman (A),15350,Mosman (A),105555350
New South Wales,1,Murray (A),15500,Murray (A),155155500
New South Wales,1,Murrumbidgee (A),15550,Murrumbidgee (A),150155550
New South Wales,1,Muswellbrook (A),15650,Muswellbrook (A),110105650
New South Wales,1,Nambucca (A),15700,Nambucca (A),125055700
New South Wales,1,Narrabri (A),15750,Narrabri (A),130205750
New South Wales,1,Narrandera (A),15800,Narrandera (A),150105800
New South Wales,1,Narromine (A),15850,Narromine (A),135055850
New South Wales,1,Newcastle (C),15900,Newcastle (C) - Inner City,110055903
New South Wales,1,Newcastle (C),15900,Newcastle (C) - Outer West,110055904
New South Wales,1,Newcastle (C),15900,Newcastle (C) - Throsby,110055905
New South Wales,1,North Sydney (A),15950,North Sydney (A),105555950
New South Wales,1,Oberon (A),16100,Oberon (A),140076100
New South Wales,1,Orange (C),16150,Orange (C),140206150
New South Wales,1,Palerang (A),16180,Palerang (A) - Pt A,145056181
New South Wales,1,Palerang (A),16180,Palerang (A) - Pt B,145106184
New South Wales,1,Parkes (A),16200,Parkes (A),140156200
New South Wales,1,Parramatta (C),16250,Parramatta (C) - Inner,105406251
New South Wales,1,Parramatta (C),16250,Parramatta (C) - North-East,105406252
New South Wales,1,Parramatta (C),16250,Parramatta (C) - North-West,105406253
New South Wales,1,Parramatta (C),16250,Parramatta (C) - South,105406254
New South Wales,1,Penrith (C),16350,Penrith (C) - East,105456351
New South Wales,1,Penrith (C),16350,Penrith (C) - West,105456354
New South Wales,1,Pittwater (A),16370,Pittwater (A),105656370
New South Wales,1,Port Macquarie-Hastings (A),16380,Port Macquarie-Hastings (A) - Pt A,125036381
New South Wales,1,Port Macquarie-Hastings (A),16380,Port Macquarie-Hastings (A) - Pt B,125106385
New South Wales,1,Port Stephens (A),16400,Port Stephens (A),110056400
New South Wales,1,Queanbeyan (C),16470,Queanbeyan (C),145056470
New South Wales,1,Randwick (C),16550,Randwick (C),105106550
New South Wales,1,Richmond Valley (A),16610,Richmond Valley (A) - Casino,120106611
New South Wales,1,Richmond Valley (A),16610,Richmond Valley (A) Bal,120106612
New South Wales,1,Rockdale (C),16650,Rockdale (C),105156650
New South Wales,1,Ryde (C),16700,Ryde (C),105556700
New South Wales,1,Shellharbour (C),16900,Shellharbour (C),115056900
New South Wales,1,Shoalhaven (C),16950,Shoalhaven (C) - Pt A,115076951
New South Wales,1,Shoalhaven (C),16950,Shoalhaven (C) - Pt B,115106952
New South Wales,1,Singleton (A),17000,Singleton (A),110107000
New South Wales,1,Snowy River (A),17050,Snowy River (A),145207050
New South Wales,1,Strathfield (A),17100,Strathfield (A),105357100
New South Wales,1,Sutherland Shire (A),17150,Sutherland Shire (A) - East,105157151
New South Wales,1,Sutherland Shire (A),17150,Sutherland Shire (A) - West,105157152
New South Wales,1,Sydney (C),17200,Sydney (C) - East,105057204
New South Wales,1,Sydney (C),17200,Sydney (C) - Inner,105057201
New South Wales,1,Sydney (C),17200,Sydney (C) - South,105057205
New South Wales,1,Sydney (C),17200,Sydney (C) - West,105057206
New South Wales,1,Tamworth Regional (A),17310,Tamworth Regional (A) - Pt A,130057311
New South Wales,1,Tamworth Regional (A),17310,Tamworth Regional (A) - Pt B,130107314
New South Wales,1,Temora (A),17350,Temora (A),150107350
New South Wales,1,Tenterfield (A),17400,Tenterfield (A),130157400
New South Wales,1,The Hills Shire (A),17420,The Hills Shire (A) - Central,105607421
New South Wales,1,The Hills Shire (A),17420,The Hills Shire (A) - North,105607423
New South Wales,1,The Hills Shire (A),17420,The Hills Shire (A) - South,105607425
New South Wales,1,Tumbarumba (A),17450,Tumbarumba (A),155107450
New South Wales,1,Tumut Shire (A),17500,Tumut Shire (A),150107500
New South Wales,1,Tweed (A),17550,Tweed (A) - Pt B,120107558
New South Wales,1,Tweed (A),17550,Tweed (A) - Tweed Coast,120057556
New South Wales,1,Tweed (A),17550,Tweed (A) - Tweed-Heads,120057554
New South Wales,1,Upper Hunter Shire (A),17620,Upper Hunter Shire (A),110107620
New South Wales,1,Upper Lachlan Shire (A),17640,Upper Lachlan Shire (A),145107640
New South Wales,1,Uralla (A),17650,Uralla (A),130157650
New South Wales,1,Urana (A),17700,Urana (A),155107700
New South Wales,1,Wagga Wagga (C),17750,Wagga Wagga (C) - Pt A,150057751
New South Wales,1,Wagga Wagga (C),17750,Wagga Wagga (C) - Pt B,150107754
New South Wales,1,Wakool (A),17800,Wakool (A),155157800
New South Wales,1,Walcha (A),17850,Walcha (A),130157850
New South Wales,1,Walgett (A),17900,Walgett (A),135107900
New South Wales,1,Warren (A),17950,Warren (A),135107950
New South Wales,1,Warringah (A),18000,Warringah (A),105658000
New South Wales,1,Warrumbungle Shire (A),18020,Warrumbungle Shire (A),135058020
New South Wales,1,Waverley (A),18050,Waverley (A),105108050
New South Wales,1,Weddin (A),18100,Weddin (A),140158100
New South Wales,1,Wellington (A),18150,Wellington (A),135058150
New South Wales,1,Wentworth (A),18200,Wentworth (A),155208200
New South Wales,1,Willoughby (C),18250,Willoughby (C),105558250
New South Wales,1,Wingecarribee (A),18350,Wingecarribee (A),115108350
New South Wales,1,Wollondilly (A),18400,Wollondilly (A),105308400
New South Wales,1,Wollongong (C),18450,Wollongong (C) - Inner,115058451
