setting,case_age,contact_age,case_age_5y,contact_age_5y,probability
household,1,7,0-4,5-9,0.1981644754017275
household,1,8,0-4,5-9,0.19866975023314945
household,1,9,0-4,5-9,0.20127506218607305
household,1,10,0-4,10-14,0.20422422241704752
household,1,11,0-4,10-14,0.2066415431853902
household,1,12,0-4,10-14,0.20677651987121895
household,1,13,0-4,10-14,0.20697489387778673
household,1,14,0-4,10-14,0.20955375596316797
household,1,15,0-4,15-19,0.20955375596316797
household,1,16,0-4,15-19,0.2097292144021102
household,1,17,0-4,15-19,0.21218563254730147
household,1,18,0-4,15-19,0.21218563254730147
household,1,19,0-4,15-19,0.21218563254730147
household,1,20,0-4,20-24,0.21218563254730147
household,1,21,0-4,20-24,0.21218563254730147
household,1,22,0-4,20-24,0.20955375596316797
household,1,23,0-4,20-24,0.20955375596316797
household,1,24,0-4,20-24,0.20676682923736459
household,1,25,0-4,25-29,0.20663116036340337
household,1,26,0-4,25-29,0.20644601129060677
household,1,27,0-4,25-29,0.20306042824518317
household,1,28,0-4,25-29,0.19884520867209168
household,1,29,0-4,25-29,0.19815409257974065
household,1,30,0-4,30-34,0.19796894350694405
household,1,31,0-4,30-34,0.19537685648779157
household,1,32,0-4,30-34,0.19274497990365813
household,1,33,0-4,30-34,0.19259962039584255
household,1,34,0-4,30-34,0.19259962039584255
household,1,35,0-4,35-39,0.19259962039584255
household,1,36,0-4,35-39,0.19259962039584255
household,1,37,0-4,35-39,0.19259962039584255
household,1,38,0-4,35-39,0.19537685648779157
household,1,39,0-4,35-39,0.19815409257974065
household,1,40,0-4,40-44,0.1990929481138274
household,1,41,0-4,40-44,0.2031520905156854
household,1,42,0-4,40-44,0.20730934495900136
household,1,43,0-4,40-44,0.21223408571657332
household,1,44,0-4,40-44,0.21786469859504148
household,1,45,0-4,45-49,0.2236250854957098
household,1,46,0-4,45-49,0.23156288787020574
household,1,47,0-4,45-49,0.23978253502784969
household,1,48,0-4,45-49,0.2455020828287032
household,1,49,0-4,45-49,0.2531868488322976
household,1,50,0-4,50-54,0.2608607738268952
household,1,51,0-4,50-54,0.26651263390927715
household,1,52,0-4,50-54,0.2717359694638676
household,1,53,0-4,50-54,0.27819286123629744
household,1,54,0-4,50-54,0.2818123424274552
household,1,55,0-4,55-59,0.28440442944660765
household,1,56,0-4,55-59,0.2872214551035377
household,1,57,0-4,55-59,0.289467344341354
household,1,58,0-4,55-59,0.289627765001198
household,1,59,0-4,55-59,0.2873818757633817
household,1,60,0-4,60-64,0.2872214551035377
household,1,61,0-4,60-64,0.2847650369583465
household,1,62,0-4,60-64,0.282010716434023
household,1,63,0-4,60-64,0.27917574674677337
household,1,64,0-4,60-64,0.27506106720338286
household,1,65,0-4,65-69,0.2694356284899098
household,1,66,0-4,65-69,0.26488592219480017
household,1,67,0-4,65-69,0.2610841399654859
household,1,68,0-4,65-69,0.25669451725189546
household,1,69,0-4,65-69,0.2512223869571261
household,1,70,0-4,70-74,0.24641348260172044
household,1,71,0-4,70-74,0.24641348260172044
household,1,72,0-4,70-74,0.24641348260172044
household,1,73,0-4,70-74,0.24641348260172044
household,1,74,0-4,70-74,0.24641348260172044
household,1,75,0-4,75-79,0.24641348260172044
household,1,76,0-4,75-79,0.24641348260172044
household,1,77,0-4,75-79,0.24641348260172044
household,1,78,0-4,75-79,0.24641348260172044
household,1,79,0-4,75-79,0.24641348260172044
household,1,80,0-4,80+,0.24641348260172044
household,1,81,0-4,80+,0.24641348260172044
household,1,82,0-4,80+,0.24641348260172044
household,1,83,0-4,80+,0.24641348260172044
household,1,84,0-4,80+,0.24641348260172044
household,1,85,0-4,80+,0.24641348260172044
household,1,86,0-4,80+,0.24641348260172044
household,1,87,0-4,80+,0.24641348260172044
household,1,88,0-4,80+,0.24641348260172044
household,1,89,0-4,80+,0.24641348260172044
household,1,90,0-4,80+,0.24641348260172044
household,1,91,0-4,80+,0.24641348260172044
household,1,92,0-4,80+,0.24641348260172044
household,1,93,0-4,80+,0.24641348260172044
household,1,94,0-4,80+,0.24641348260172044
household,1,95,0-4,80+,0.24641348260172044
household,1,96,0-4,80+,0.24641348260172044
household,1,97,0-4,80+,0.24641348260172044
household,1,98,0-4,80+,0.24641348260172044
household,1,99,0-4,80+,0.24641348260172044
household,1,100,0-4,80+,0.24641348260172044
household,2,0,0-4,0-4,0.19537685648779157
household,2,1,0-4,0-4,0.19537685648779157
household,2,2,0-4,0-4,0.19537685648779157
household,2,3,0-4,0-4,0.19537685648779157
household,2,4,0-4,0-4,0.19537685648779157
household,2,5,0-4,5-9,0.19557523049435938
household,2,6,0-4,5-9,0.19815409257974065
household,2,7,0-4,5-9,0.1981644754017275
household,2,8,0-4,5-9,0.19866975023314945
household,2,9,0-4,5-9,0.20127506218607305
household,2,10,0-4,10-14,0.20422422241704752
household,2,11,0-4,10-14,0.2066415431853902
household,2,12,0-4,10-14,0.20677651987121895
household,2,13,0-4,10-14,0.20697489387778673
household,2,14,0-4,10-14,0.20955375596316797
household,2,15,0-4,15-19,0.20955375596316797
household,2,16,0-4,15-19,0.2097292144021102
household,2,17,0-4,15-19,0.21218563254730147
household,2,18,0-4,15-19,0.21218563254730147
household,2,19,0-4,15-19,0.21218563254730147
household,2,20,0-4,20-24,0.21218563254730147
household,2,21,0-4,20-24,0.21218563254730147
household,2,22,0-4,20-24,0.20955375596316797
household,2,23,0-4,20-24,0.20955375596316797
household,2,24,0-4,20-24,0.20676682923736459
household,2,25,0-4,25-29,0.20663116036340337
household,2,26,0-4,25-29,0.20644601129060677
household,2,27,0-4,25-29,0.20306042824518317
household,2,28,0-4,25-29,0.19884520867209168
household,2,29,0-4,25-29,0.19815409257974065
household,2,30,0-4,30-34,0.19796894350694405
household,2,31,0-4,30-34,0.19537685648779157
household,2,32,0-4,30-34,0.19274497990365813
household,2,33,0-4,30-34,0.19259962039584255
household,2,34,0-4,30-34,0.19259962039584255
household,2,35,0-4,35-39,0.19259962039584255
household,2,36,0-4,35-39,0.19259962039584255
household,2,37,0-4,35-39,0.19259962039584255
household,2,38,0-4,35-39,0.19537685648779157
household,2,39,0-4,35-39,0.19815409257974065
household,2,40,0-4,40-44,0.1990929481138274
household,2,41,0-4,40-44,0.2031520905156854
household,2,42,0-4,40-44,0.20730934495900136
household,2,43,0-4,40-44,0.21223408571657332
household,2,44,0-4,40-44,0.21786469859504148
household,2,45,0-4,45-49,0.2236250854957098
household,2,46,0-4,45-49,0.23156288787020574
household,2,47,0-4,45-49,0.23978253502784969
household,2,48,0-4,45-49,0.2455020828287032
household,2,49,0-4,45-49,0.2531868488322976
household,2,50,0-4,50-54,0.2608607738268952
household,2,51,0-4,50-54,0.26651263390927715
household,2,52,0-4,50-54,0.2717359694638676
household,2,53,0-4,50-54,0.27819286123629744
household,2,54,0-4,50-54,0.2818123424274552
household,2,55,0-4,55-59,0.28440442944660765
household,2,56,0-4,55-59,0.2872214551035377
household,2,57,0-4,55-59,0.289467344341354
household,2,58,0-4,55-59,0.289627765001198
household,2,59,0-4,55-59,0.2873818757633817
household,2,60,0-4,60-64,0.2872214551035377
household,2,61,0-4,60-64,0.2847650369583465
household,2,62,0-4,60-64,0.282010716434023
household,2,63,0-4,60-64,0.27917574674677337
household,2,64,0-4,60-64,0.27506106720338286
household,2,65,0-4,65-69,0.2694356284899098
household,2,66,0-4,65-69,0.26488592219480017
household,2,67,0-4,65-69,0.2610841399654859
household,2,68,0-4,65-69,0.25669451725189546
household,2,69,0-4,65-69,0.2512223869571261
household,2,70,0-4,70-74,0.24641348260172044
household,2,71,0-4,70-74,0.24641348260172044
household,2,72,0-4,70-74,0.24641348260172044
household,2,73,0-4,70-74,0.24641348260172044
household,2,74,0-4,70-74,0.24641348260172044
household,2,75,0-4,75-79,0.24641348260172044
household,2,76,0-4,75-79,0.24641348260172044
household,2,77,0-4,75-79,0.24641348260172044
household,2,78,0-4,75-79,0.24641348260172044
household,2,79,0-4,75-79,0.24641348260172044
household,2,80,0-4,80+,0.24641348260172044
household,2,81,0-4,80+,0.24641348260172044
household,2,82,0-4,80+,0.24641348260172044
household,2,83,0-4,80+,0.24641348260172044
household,2,84,0-4,80+,0.24641348260172044
household,2,85,0-4,80+,0.24641348260172044
household,2,86,0-4,80+,0.24641348260172044
household,2,87,0-4,80+,0.24641348260172044
household,2,88,0-4,80+,0.24641348260172044
household,2,89,0-4,80+,0.24641348260172044
household,2,90,0-4,80+,0.24641348260172044
household,2,91,0-4,80+,0.24641348260172044
household,2,92,0-4,80+,0.24641348260172044
household,2,93,0-4,80+,0.24641348260172044
household,2,94,0-4,80+,0.24641348260172044
household,2,95,0-4,80+,0.24641348260172044
household,2,96,0-4,80+,0.24641348260172044
household,2,97,0-4,80+,0.24641348260172044
household,2,98,0-4,80+,0.24641348260172044
household,2,99,0-4,80+,0.24641348260172044
household,2,100,0-4,80+,0.24641348260172044
household,3,0,0-4,0-4,0.19537685648779157
household,3,1,0-4,0-4,0.19537685648779157
household,3,2,0-4,0-4,0.19537685648779157
household,3,3,0-4,0-4,0.19537685648779157
household,3,4,0-4,0-4,0.19537685648779157
household,3,5,0-4,5-9,0.19557523049435938
household,3,6,0-4,5-9,0.19815409257974065
household,3,7,0-4,5-9,0.1981644754017275
household,3,8,0-4,5-9,0.19866975023314945
household,3,9,0-4,5-9,0.20127506218607305
household,3,10,0-4,10-14,0.20422422241704752
household,3,11,0-4,10-14,0.2066415431853902
household,3,12,0-4,10-14,0.20677651987121895
household,3,13,0-4,10-14,0.20697489387778673
household,3,14,0-4,10-14,0.20955375596316797
household,3,15,0-4,15-19,0.20955375596316797
household,3,16,0-4,15-19,0.2097292144021102
household,3,17,0-4,15-19,0.21218563254730147
household,3,18,0-4,15-19,0.21218563254730147
household,3,19,0-4,15-19,0.21218563254730147
household,3,20,0-4,20-24,0.21218563254730147
household,3,21,0-4,20-24,0.21218563254730147
household,3,22,0-4,20-24,0.20955375596316797
household,3,23,0-4,20-24,0.20955375596316797
household,3,24,0-4,20-24,0.20676682923736459
household,3,25,0-4,25-29,0.20663116036340337
household,3,26,0-4,25-29,0.20644601129060677
household,3,27,0-4,25-29,0.20306042824518317
household,3,28,0-4,25-29,0.19884520867209168
household,3,29,0-4,25-29,0.19815409257974065
household,3,30,0-4,30-34,0.19796894350694405
household,3,31,0-4,30-34,0.19537685648779157
household,3,32,0-4,30-34,0.19274497990365813
household,3,33,0-4,30-34,0.19259962039584255
household,3,34,0-4,30-34,0.19259962039584255
household,3,35,0-4,35-39,0.19259962039584255
household,3,36,0-4,35-39,0.19259962039584255
household,3,37,0-4,35-39,0.19259962039584255
household,3,38,0-4,35-39,0.19537685648779157
household,3,39,0-4,35-39,0.19815409257974065
household,3,40,0-4,40-44,0.1990929481138274
household,3,41,0-4,40-44,0.2031520905156854
household,3,42,0-4,40-44,0.20730934495900136
household,3,43,0-4,40-44,0.21223408571657332
household,3,44,0-4,40-44,0.21786469859504148
household,3,45,0-4,45-49,0.2236250854957098
household,3,46,0-4,45-49,0.23156288787020574
household,3,47,0-4,45-49,0.23978253502784969
household,3,48,0-4,45-49,0.2455020828287032
household,3,49,0-4,45-49,0.2531868488322976
household,3,50,0-4,50-54,0.2608607738268952
household,3,51,0-4,50-54,0.26651263390927715
household,3,52,0-4,50-54,0.2717359694638676
household,3,53,0-4,50-54,0.27819286123629744
household,3,54,0-4,50-54,0.2818123424274552
household,3,55,0-4,55-59,0.28440442944660765
household,3,56,0-4,55-59,0.2872214551035377
household,3,57,0-4,55-59,0.289467344341354
household,3,58,0-4,55-59,0.289627765001198
household,3,59,0-4,55-59,0.2873818757633817
household,3,60,0-4,60-64,0.2872214551035377
household,3,61,0-4,60-64,0.2847650369583465
household,3,62,0-4,60-64,0.282010716434023
household,3,63,0-4,60-64,0.27917574674677337
household,3,64,0-4,60-64,0.27506106720338286
household,3,65,0-4,65-69,0.2694356284899098
household,3,66,0-4,65-69,0.26488592219480017
household,3,67,0-4,65-69,0.2610841399654859
household,3,68,0-4,65-69,0.25669451725189546
household,3,69,0-4,65-69,0.2512223869571261
household,3,70,0-4,70-74,0.24641348260172044
household,3,71,0-4,70-74,0.24641348260172044
household,3,72,0-4,70-74,0.24641348260172044
household,3,73,0-4,70-74,0.24641348260172044
household,3,74,0-4,70-74,0.24641348260172044
household,3,75,0-4,75-79,0.24641348260172044
household,3,76,0-4,75-79,0.24641348260172044
household,3,77,0-4,75-79,0.24641348260172044
household,3,78,0-4,75-79,0.24641348260172044
household,3,79,0-4,75-79,0.24641348260172044
household,3,80,0-4,80+,0.24641348260172044
household,3,81,0-4,80+,0.24641348260172044
household,3,82,0-4,80+,0.24641348260172044
household,3,83,0-4,80+,0.24641348260172044
household,3,84,0-4,80+,0.24641348260172044
household,3,85,0-4,80+,0.24641348260172044
household,3,86,0-4,80+,0.24641348260172044
household,3,87,0-4,80+,0.24641348260172044
household,3,88,0-4,80+,0.24641348260172044
household,3,89,0-4,80+,0.24641348260172044
household,3,90,0-4,80+,0.24641348260172044
household,3,91,0-4,80+,0.24641348260172044
household,3,92,0-4,80+,0.24641348260172044
household,3,93,0-4,80+,0.24641348260172044
household,3,94,0-4,80+,0.24641348260172044
household,3,95,0-4,80+,0.24641348260172044
household,3,96,0-4,80+,0.24641348260172044
household,3,97,0-4,80+,0.24641348260172044
household,3,98,0-4,80+,0.24641348260172044
household,3,99,0-4,80+,0.24641348260172044
household,3,100,0-4,80+,0.24641348260172044
household,4,0,0-4,0-4,0.19537685648779157
household,4,1,0-4,0-4,0.19537685648779157
household,4,2,0-4,0-4,0.19537685648779157
household,4,3,0-4,0-4,0.19537685648779157
household,4,4,0-4,0-4,0.19537685648779157
household,4,5,0-4,5-9,0.19557523049435938
household,4,6,0-4,5-9,0.19815409257974065
household,4,7,0-4,5-9,0.1981644754017275
household,4,8,0-4,5-9,0.19866975023314945
household,4,9,0-4,5-9,0.20127506218607305
household,4,10,0-4,10-14,0.20422422241704752
household,4,11,0-4,10-14,0.2066415431853902
household,4,12,0-4,10-14,0.20677651987121895
household,4,13,0-4,10-14,0.20697489387778673
household,4,14,0-4,10-14,0.20955375596316797
household,4,15,0-4,15-19,0.20955375596316797
household,4,16,0-4,15-19,0.2097292144021102
household,4,17,0-4,15-19,0.21218563254730147
household,4,18,0-4,15-19,0.21218563254730147
household,4,19,0-4,15-19,0.21218563254730147
household,4,20,0-4,20-24,0.21218563254730147
household,4,21,0-4,20-24,0.21218563254730147
household,4,22,0-4,20-24,0.20955375596316797
household,4,23,0-4,20-24,0.20955375596316797
household,4,24,0-4,20-24,0.20676682923736459
household,4,25,0-4,25-29,0.20663116036340337
household,4,26,0-4,25-29,0.20644601129060677
